index|ayas|start|name|tname|ename|type
1|7|0|الفاتحة|Al-Faatiha|The Opening|Meccan
2|286|7|البقرة|Al-Baqara|The Cow|Medinan
3|200|293|آل عمران|Aal-i-Imraan|The Family of Imraan|Medinan
4|176|493|النساء|An-Nisaa|The Women|Medinan
5|120|669|المائدة|Al-Maaida|The Table|Medinan
6|165|789|الأنعام|Al-An'aam|The Cattle|Meccan
7|206|954|الأعراف|Al-A'raaf|The Heights|Meccan
8|75|1160|الأنفال|Al-Anfaal|The Spoils of War|Medinan
9|129|1235|التوبة|At-Tawba|The Repentance|Medinan
10|109|1364|يونس|Yunus|Jonas|Meccan
11|123|1473|هود|Hud|Hud|Meccan
12|111|1596|يوسف|Yusuf|Joseph|Meccan
13|43|1707|الرعد|Ar-Ra'd|The Thunder|Medinan
14|52|1750|ابراهيم|Ibrahim|Abraham|Meccan
15|99|1802|الحجر|Al-Hijr|The Rock|Meccan
16|128|1901|النحل|An-Nahl|The Bee|Meccan
17|111|2029|الإسراء|Al-Israa|The Night Journey|Meccan
18|110|2140|الكهف|Al-Kahf|The Cave|Meccan
19|98|2250|مريم|Maryam|Mary|Meccan
20|135|2348|طه|Taa-Haa|Taa-Haa|Meccan
21|112|2483|الأنبياء|Al-Anbiyaa|The Prophets|Meccan
22|78|2595|الحج|Al-Hajj|The Pilgrimage|Medinan
23|118|2673|المؤمنون|Al-Muminoon|The Believers|Meccan
24|64|2791|النور|An-Noor|The Light|Medinan
25|77|2855|الفرقان|Al-Furqaan|The Criterion|Meccan
26|227|2932|الشعراء|Ash-Shu'araa|The Poets|Meccan
27|93|3159|النمل|An-Naml|The Ant|Meccan
28|88|3252|القصص|Al-Qasas|The Stories|Meccan
29|69|3340|العنكبوت|Al-Ankaboot|The Spider|Meccan
30|60|3409|الروم|Ar-Room|The Romans|Meccan
31|34|3469|لقمان|Luqman|Luqman|Meccan
32|30|3503|السجدة|As-Sajda|The Prostration|Meccan
33|73|3533|الأحزاب|Al-Ahzaab|The Clans|Medinan
